0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,Season-ality
Country of Residence,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
,,,,,,,,,,,,,,RatioTable 3
NORTH AMERICA,"84,943","7,809","6,750","7,500","6,160","5,924","7,028","8,158","7,044","5,419","5,272","6,096","11,783",1.7
Canada,"37,732","3,419","2,808","3,158","2,864","2,863","3,665","3,997","3,766","2,187","2,276","2,520","4,209",1.3
U.S.A.,"47,211","4,390","3,942","4,342","3,296","3,061","3,363","4,161","3,278","3,232","2,996","3,576","7,574",1.9
LATIN AMERICA & THE,"4,628",433,424,416,293,337,274,402,331,389,418,359,552,1.4
WESTERN EUROPE,"552,442","51,459","60,777","57,094","34,964","24,497","27,776","64,905","55,868","35,819","36,749","40,006","62,528",1.4
Austria,"14,253","1,834","2,278","1,580",666,469,362,"1,208","1,041",605,770,"1,295","2,145",1.9
Belgium,"13,054",895,"1,287","1,135",995,346,635,"2,380","1,588","1,100",636,893,"1,164",2.2
Denmark,"15,203","2,307","2,528","1,507",654,401,973,"1,964",608,527,878,799,"2,057",2.0
France,"86,126","9,095","12,742","10,054","6,386","3,490","3,012","9,080","9,543","4,709","5,313","5,641","7,061",1.8
Netherlands,"32,742","2,112","2,282","1,774","1,764","1,311","1,615","8,741","3,411","2,714","2,083","1,889","3,046",3.2
Italy,"24,293","2,710","2,567","2,060","1,351",898,"1,136","1,959","3,632","1,407","1,123","1,537","3,913",1.9
Norway,"12,007","1,044","1,164","1,075",464,373,"2,006","2,009",548,430,569,875,"1,450",2.0
Spain,"15,582",711,927,"1,148",732,676,756,"1,613","3,215","1,718","1,355","1,348","1,383",2.5
Sweden,"18,423","2,756","2,485","1,625",747,397,807,689,450,448,"1,387","1,749","4,883",3.2
Switzerland,"22,418","1,897","2,246","1,643","1,850",917,"1,135","4,683","1,346","1,268","1,617","1,436","2,380",2.5
U.K.,"161,845","13,410","15,212","16,191","11,233","7,954","8,580","20,643","17,908","11,160","9,970","10,822","18,762",1.5
Germany,"115,868","10,375","13,056","15,294","6,423","6,265","5,649","8,494","10,913","8,292","9,681","10,103","11,323",1.6
Others,"20,628","2,313","2,003","2,008","1,699","1,000","1,110","1,442","1,665","1,441","1,367","1,619","2,961",1.7
EASTERN EUROPE,"148,458","20,470","17,327","15,661","11,675","6,304","5,271","7,378","8,333","8,601","11,003","17,199","19,236",1.7
Russia,"61,846","9,240","6,787","7,106","5,699","2,847","2,239","2,514","3,332","2,788","4,574","7,360","7,360",1.8
Ukraine,"23,853","3,312","1,827","1,502","1,328","1,072",823,"1,353","1,677","1,933","2,549","2,876","3,601",1.8
Czech Republic,"15,278","1,748","2,479","2,036","1,167",396,527,957,759,915,752,"1,565","1,977",1.9
Poland,"13,245","1,808","1,852","1,265",832,582,457,848,714,788,585,"1,859","1,655",1.7
Others,"34,236","4,362","4,382","3,752","2,649","1,407","1,225","1,706","1,851","2,177","2,543","3,539","4,643",1.6
AFRICA,"12,899",930,786,"1,024","1,117",888,847,"1,050","1,148","1,104",917,"1,023","2,065",1.9
South Africa,"4,717",285,267,384,423,212,308,370,381,379,317,360,"1,031",2.6
Others,"8,182",645,519,640,694,676,539,680,767,725,600,663,"1,034",1.5
MIDDLE EAST,"101,066","8,817","4,673","8,594","5,484","5,544","5,282","16,053","15,523","13,752","5,366","4,807","7,171",1.9
Saudi Arabia,"36,617","3,055","1,100","3,903","1,278","2,213","2,321","7,092","5,145","6,361","1,694","1,263","1,192",2.3
UAE,"10,576",529,317,795,734,488,429,"1,803","2,186",844,556,682,"1,213",2.5
Isreal,"7,790",669,687,527,443,297,319,809,841,"1,648",375,353,822,2.5
