0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,Table (e)
Carrier,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015*
Inter-Regional,,,,,,,,,,,
,77.3,76.1,77.6,78.1,82.5,81.5,86.2,87.8,86.9,92.3,96.0
Flights,,,,,,,,,,,
Intra-Regional,,,,,,,,,,,
,21.6,22.9,20.6,18.8,16.2,17.4,11.8,11.3,9.7,5.6,2.4
Flights,,,,,,,,,,,
Charter Flights,1.0,0.9,1.7,3.0,1.2,1.0,1.8,0.6,1.4,0.4,0.2
TOTAL AIR,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.7,98.0,98.3,98.6
Passenger Ships,,,,,,,,,,,
,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,2.0,1.7,1.4
(CBO),,,,,,,,,,,
TOTAL SEA,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,2.0,1.7,1.4
Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
