0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,Table (j)
Resort Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Colombo City,"3,209","3,209","3,188","3,190","3,141","3,086","3,054","3,170","3,633","3,966"
Greater Colombo,"2,520","2,555","2,651","2,494","2,640","2,573","2,856","2,913","2,883","3,041"
South Coast,"5,112","5,505","5,370","4,940","5,099","5,037","5,660","5,868","6,717","6,787"
East Coast,184,184,230,230,238,238,296,628,842,895
High Country,726,734,772,928,847,940,743,838,789,"1,035"
Ancient Cities,"2,467","2,417","2,582","2,679","2,749","2,779","2,901","3,217","3,595","3,601"
Northern Region,0,0,0,0,0,0,0,21,51,51
All Region,"14,218","14,604","14,793","14,461","14,714","14,653","15,510","16,655","18,510","19,376"
