0,1,2,3
,,,6
,Monthly Tourist Arrivals Report – November 2023,,
,Top primary markets and top potential markets,,
,"Top primary  markets, November 2023",,
,India,,
,,Canada,
,"Arrivals : 30,339 | % Share: 20.0","Arrivals: 2,678 |  % Share : 1.8",
,Russia Federation,,
,,Bangaladesh,
,"Arrivals: 24,912 | % Share: 16.4","Arrivals: 2,674 | % Share : 1.8",
,Germany,Spain,
,"Arrivals: 12,331 | % Share : 8.1","Arrivals: 2,673 | % Share : 1.8",
,United Kingdom,,
,,Maldives,
,"Arrivals : 11,526 | % Share : 7.6",,
,,"Arrivals: 2,420 | % Share : 1.6",
,Australia,Czech Republic,
,"Arrivals: 7,900  | % Share : 5.2","Arrivals: 2,373 | % Share : 1.6",
,China,,
,,Netherlands,
,"Arrivals: 6,673   | % Share : 4.4",,
,,"Arrivals: 2,370 | % Share : 1.6",
,United States,Switzerlands,
,"Arrivals: 4,299 | % Share : 2.8","Arrivals: 1,970 | % Share : 1.3",
,,Italy,
,France,,
,"Arrivals: 3,882 | % Share:  2.6","Arrivals: 1,662  | % Share: 1.1",
N,P,Belarus,
,oland,,
,"Arrivals: 3,343 | % Share:  2.2","Arrivals: 1,508  | % Share : 1.0",
,,Austria,
,Japan,,
,"Arrivals:  2,875 | % Share : 1.9","Arrivals: 1,212 | % Share : 0.8",
,ote: The top primary markets for Sri Lanka have been identified using visitor arrivals. The previous methodology used to ide ntify,,
the markets was altered due to the current arrival trends in the source markets and the socio economic factors in Sri Lanka.  The,,,
"intention is to track these source markets on a go-forward basis to understand future performance of Sri Lanka’s tourism economy,",,,
"including during the projected international tourism recovery period, 2022 -2025.",,,
