0,1,2,3
"Table 3. Top ten markets to Sri Lanka, January to November 2023",,,
,Country of,Tourist Arrivals,Tourist Arrivals
Rank,,,
,Residence,(Jan. – Nov .2023),(Jan. – Nov.2022)
1,India,"258,871","105,654"
2,Russian Federation,"167,841","71,309"
3,United Kingdom,"110,823","77,308"
4,Germany,"88,792","50,558"
5,China,"60,515","4,080"
6,Australia,"56,589","25,766"
7,France,"50,742","32,817"
8,Canada,"40,304","24,227"
9,United States,"38,300","18,592"
10,Maldives,"31,360","15,436"
11,Others,"372,814","202,270"
Total,,"1,276,951","628,017"
