0,1,2,3
,,,7
,Monthly Tourist Arrivals Report –  November 2023,,
,"Top potential  markets, November 2023",,
,Singpore,South Korea,
,"Arrivals : 1,140 | % Share : 0.8",Arrivals : 867 | % Share: 0.6,
,Malaysia,Iran,
,"Arrivals : 1,084 | % Share : 0.7",Arrivals:  783 | % Share: 0.5,
,,Belgium,
,Pakistan,,
,A,Arrivals: 769 | % Share :  0.5,
,rrivals : 962 | % Share: 0.6,,
,,Denmark,
,Sweden,,
N,,Arrivals: 764 | % Share: 0.5,
,Arrivals : 948 | % Share : 0.6,,
,,New Zeland,
,Saudi Arabia,,
,,Arrivals:  749 | % Share: 0.5,
,Arrivals:  872  | % Share: 0.6,,
,ote: The top potential markets for Sri Lanka have been identified using visitor arrivals data. The previous methodology used to,,
identify the markets was altered due to the current arrival trends in the source ma rkets and the socio economic factors in Sri Lanka.,,,
The intention is to track these source markets on a go -forward basis to understand future performance of Sri Lanka’s tourism,,,
"economy, including during the projected international tourism recovery period, 2 022-2025.",,,
