0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Class,,No.,,,No.,,No.,,Total,,Foreign,,Local,,Room
of,,of,,,of,,of,,Guest,,Guest,,Guest,,Occupancy
Accommodation,,Units,,,Rooms,,Beds,,Nights,,Nights,,Nights,,Rate
,2012,,2013,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013
(A) Hotel,269,,279,"14,653","16,223","30,399","33,950*","6,495,129","8,181,348","5,038,066","6,793,024","1,457,063","1,388,324",71.2,71.7
5 Star,14,,12,"3,230","3,152","6,420","6,265*","1,472,859","1,926,189","1,290,825","1,740,306","182,034","185,883",71.5,71.9
4 Star,15,,18,"1,784","2,070","3,329","3,863*","1,005,604","1,369,709","852,772","1,170,496","152,832","199,213",69.7,70.2
3 Star,16,,14,"1,178","1,061","2,378","2,142*","548,643","934,194","453,678","853,394","94,965","80,800",65.3,70.3
2 Star,36,,33,"2,022","1,717","3,981","3,381*","931,487","930,592","728,896","830,174","202,591","100,418",71.9,69.9
1 Star,33,,35,"1,171","1,325","2,322","2,627*","571,943","830,224","462,798","700,958","109,145","129,266",70.3,73.1
Unclassified,155,,167,"5,268","6,898","11,969","15,672*","1,964,593","2,190,440","1,249,097","1,497,696","715,496","692,744",78.6,74.9
(B) Supplementary,,,,,,,,,,,,,,,
Establishments,625,,688,"6,141","7,373*","13,131","14,750*","3,054,640","3,595,256*","2,372,266 2,904,822*",,"682,374","690,434*",76.2,77.1*
