0,1,2,3,4,5,6,7
,,,Private &,Visiting,Conventions,Religious,
Country of,,,Official,Friends &,Conference &,&,
Residence,Total,Pleasure,Business,Relations,Meetings,Cultural,Others
NORTH AMERICA,"65,616","51,263","3,073","6,088","1,616","1,902","1,674"
Canada,"30,926","22,594","1,964","2,751","1,026","1,290","1,301"
U.S.A.,"34,690","28,669","1,109","3,337",590,612,373
LATIN AMERICA &,,,,,,,
THE CARIBBEAN,"3,166","1,817",180,597,91,346,135
WESTERN EUROPE,"421,037","340,822","20,824","30,000","7,794","15,333","6,264"
Austria,"11,300","8,651",692,556,301,759,341
Belgium,"9,138","8,107",262,397,58,231,83
Denmark,"9,845","6,631",646,846,483,759,480
France,"64,388","53,640","1,776","6,336",538,"1,699",399
Netherlands,"22,281","18,909",954,"1,572",222,463,161
Italy,"17,982","14,286",895,"2,399",83,165,154
Norway,"8,573","6,700",408,970,189,217,89
Spain,"8,183","6,267",655,610,70,515,66
Sweden,"12,597","10,767",449,649,138,414,180
Switzerland,"19,141","14,376","1,490","1,105",531,"1,153",486
U.K,"137,416","107,212","7,320","9,758","3,805","6,445","2,876"
Germany,"85,470","76,108","3,719","2,920",416,"1,718",589
Others,"14,723","9,168","1,558","1,882",960,795,360
EASTERN EUROPE,"125,695","106,266","5,985","6,432","1,316","3,855","1,841"
"Czech, Republic","8,881","7,977",197,441,20,164,82
Poland,"9,688","7,190",597,749,274,571,307
Russia,"51,235","44,084","2,409","2,267",382,"1,534",559
Ukraine,"38,607","32,963","1,636","2,157",408,904,539
Others,"17,284","14,052","1,146",818,232,682,354
AFRICA,"8,081","4,447",463,"1,890",192,794,295
South Africa,"3,366","2,587",193,387,26,100,73
Others,"4,715","1,860",270,"1,503",166,694,222
MIDDLE EAST,"80,509","44,359","7,170","11,646","4,186","8,232","4,916"
Isreal,"8,545","7,600",372,278,43,199,53
Saudi Arabia,"23,753","18,232",963,"2,439",133,"1,719",267
Kuwait,"7,427","3,635",731,952,516,835,758
UAE,"8,471","5,338",522,"1,465",209,605,332
Oman,"7,634","5,377",516,953,273,330,185
Others,"24,679","4,177","4,066","5,559","3,012","4,544","3,321"
EAST ASIA,"183,097","127,280","11,309","25,296","3,801","7,501","7,910"
China,"54,288","41,238","2,990","7,229",680,"1,053","1,098"
Indonesia,"17,295","7,722","1,461","2,622","1,154","1,732","2,604"
Japan,"31,505","25,841","1,952","2,278",78,734,622
Malaysia,"19,181","13,052",927,"3,470",252,660,820
Philippines,"14,616","7,578","1,252","2,424",709,"1,173","1,480"
Singapore,"15,546","11,350","1,012","2,194",338,372,280
Thailand,"9,608","7,242",433,969,89,644,231
South Korea,"12,207","8,647",654,"2,031",163,493,219
Others,"8,851","4,610",628,"2,079",338,640,556
SOUTH ASIA,"326,556","191,803","15,555","77,596","4,797","25,714","11,091"
India,"208,795","124,961","9,915","60,842","2,619","5,747","4,711"
Maldives,"79,474","46,310","3,455","6,576","1,309","17,944","3,880"
Pakistan,"25,336","14,976","1,116","5,914",400,"1,090","1,840"
Bangladesh,"10,037","4,499",544,"3,871",198,570,355
Others,"2,914","1,057",525,393,271,363,305
AUSTRALASIA,"60,836","47,151","3,387","4,991","2,402","1,818","1,087"
Australia,"54,252","41,947","3,066","4,341","2,166","1,748",984
New Zealand,"6,174","5,030",293,572,180,34,65
Others,410,174,28,78,56,36,38
Total,"1,274,593","915,208","67,946","164,536","26,195","65,495","35,213"
