0,1,2,3,4,5,6,7,8,9,10
,,its Regional Distribution - 2004 to 2013,,,,,,,,
Resort Regions,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Colombo City,"2,670","2,926","3,209","3,209","3,188","3,190","3,141","3,086","3,054","3,149"
Greater Colombo,"2,581","2,490","2,520","2,555","2,651","2,494","2,640","2,573","2,856","2,896"
South Coast,"5,632","4,431","5,112","5,505","5,370","4,940","5,099","5,037","5,660","5,639"
East Coast,263,178,184,184,230,230,238,238,296,588
High Country,690,709,726,734,772,928,847,940,743,815
Ancient Cities,"2,486","2,428","2,467","2,417","2,582","2,679","2,749","2,779","2,901","3,115"
Northern Region,-,-,-,-,-,-,-,-,-,21
All Regions,"14,322","13,162","14,218","14,604","14,793","14,461","14,714","14,653","15,510","16,223"
