0,1,2,3,4,5,6,7,8,9
,Tourist Arrivals by Country of Residence & Occupation - 2013,,,,,,,,
,,,,,Scientists,,Other,No,
Country of,Total,Business-,Profess-,Execu-,,Educa-,,,Retired
,,,,,& Tech-,,Occupa-,Occupa-,
Residence,,men,ionals,tives,,tionists,,,Persons
,,,,,nicians,,tion,tion,
NORTH AMERICA,"65,616","5,443","11,435","2,132","2,132","9,070","15,017","11,868","8,519"
Canada,"30,926","1,658","3,866",554,554,"4,970","7,714","7,191","4,419"
U.S.A.,"34,690","3,785","7,569","1,578","1,578","4,100","7,303","4,677","4,100"
LATIN AMERICA &,,,,,,,,,
THE CARIBBEAN,"3,166",345,691,144,144,374,173,921,374
WESTERN EUROPE,"421,037","72,931","83,766","40,074","31,684","45,598","32,990","51,798","62,196"
Austria,"11,300","1,015","1,980",458,424,"1,329","3,310","1,186","1,598"
Belgium,"9,138","1,003","1,713",913,853,"1,200","1,712",883,861
Denmark,"9,845",900,"1,231",649,605,"1,354","2,043","1,508","1,555"
Finland,"2,471",248,320,375,291,340,169,342,386
France,"64,388","14,673","10,341","1,996","3,535","6,529","3,378","6,791","17,145"
Netherlands,"22,281","7,431","4,178","1,834",917,"2,925","1,189","1,439","2,368"
Italy,"17,982","4,748","4,096","1,481","2,008","1,822","1,076","1,386","1,365"
Norway,"8,573",666,"1,072",762,989,"1,179","1,276","1,289","1,340"
Spain,"8,183","1,011","1,434",695,466,962,"1,365","1,156","1,094"
Sweden,"12,597","1,240",997,"1,427","1,516","1,732","2,660","1,056","1,969"
Switzerland,"19,141","2,104","4,458","1,690","2,313","1,369","1,952","2,546","2,709"
U.K,"137,416","12,986","33,818","15,772","11,034","15,143","7,173","22,279","19,211"
Germany,"85,470","18,336","15,855","11,717","6,217","8,496","5,068","9,815","9,966"
Others,"12,252","6,570","2,273",305,516,"1,218",619,122,629
EASTERN EUROPE,"125,695","48,003","21,860","11,079","7,898","9,474","9,185","9,349","8,847"
Russia,"51,235","18,025","7,552","4,708","3,836","3,940","3,882","3,375","5,917"
Ukraine,"38,607","14,477","7,407","2,838","2,556","2,838","2,683","4,673","1,135"
Others,"35,853","15,501","6,901","3,533","1,506","2,696","2,620","1,301","1,795"
AFRICA,"8,081",787,783,"1,459","1,004",945,"1,351","1,078",674
South Africa,"3,366",328,326,608,418,394,562,449,281
Others,"4,715",459,457,851,586,551,789,629,393
MIDDLE EAST,"80,509","15,739","13,394","7,220","6,902","11,851","9,382","10,618","5,403"
Isreal,"8,545","1,958","1,553",661,691,"1,030",842,"1,262",548
Saudi Arabia,"23,753","5,187","4,318","2,171","2,374","2,872","2,247","2,777","1,807"
Kuwait,"7,427","1,510","1,299",574,402,895,572,"1,714",461
Oman,"7,634","1,749","1,388",590,581,920,589,"1,255",562
Others,"33,150","5,335","4,836","3,224","2,854","6,134","5,132","3,610","2,025"
EAST ASIA,"183,097","61,556","34,617","14,013","17,017","15,607","13,468","14,495","12,324"
China,"54,288","18,094","10,080","5,997","4,227","3,517","5,998","2,754","3,621"
Indonesia,"17,295","5,761","3,046",926,"1,195","1,183",575,"1,881","2,728"
Japan,"31,505","13,386","5,409",971,"2,426","4,455","1,591","1,676","1,591"
Malaysia,"19,181","4,262","4,262","1,705","2,482","1,279",853,"3,059","1,279"
Philippines,"14,616","4,869","2,574",783,"2,249","1,209",756,"1,490",686
Singapore,"15,546","4,969","3,846",962,"1,011",801,"1,327","1,668",962
Thailand,"9,608","3,201","1,692",514,"1,020","1,722",958,50,451
Taiwan,"3,931","1,309",692,211,380,269,413,455,202
South Korea,"12,207","4,066","2,150","1,667","1,463",835,414,"1,039",573
Others,"4,920","1,639",866,277,564,337,583,423,231
SOUTH ASIA,"326,556","162,368","44,715","14,411","13,455","17,640","38,039","21,109","14,819"
India,"208,795","114,441","22,655","6,197","6,990","9,583","28,808","14,053","6,068"
Maldives,"79,474","35,173","15,317","5,075","3,788","5,438","5,385","3,600","5,698"
Pakistan,"25,336","8,440","4,462","1,429","1,297","1,733","2,934","2,609","2,432"
Others,"12,951","4,314","2,281","1,710","1,380",886,912,847,621
AUSTRALASIA,"60,836","9,104","11,355","4,109","4,886","7,087","9,535","7,441","7,319"
Australia,"54,252","8,119","10,126","3,664","4,357","6,320","8,503","6,636","6,527"
New Zealand,"6,174",924,"1,152",417,496,719,968,755,743
Others,410,61,77,28,33,48,64,50,49
Total,"1,274,593","376,276","222,616","94,641","85,122","117,646","129,140","128,677","120,475"
