0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Tourist Arrivals by Country of Residence & Month - 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,Season
Country of,,,,,,,,,,,,,,-ality
Residence,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ratio
NORTH AMERICA,"65,616","5,644","5,235","5,772","4,411","4,490","6,169","6,463","5,729","3,279","4,715","4,439","9,270",1.7
Canada,"30,926","2,724","2,343","2,512","2,088","2,406","3,400","3,608","2,949","1,490","1,954","1,807","3,645",1.4
U.S.A.,"34,690","2,920","2,892","3,260","2,323","2,084","2,769","2,855","2,780","1,789","2,761","2,632","5,625",2.0
LATIN AMERICA &,,,,,,,,,,,,,,
THE CARIBBEAN,"3,166",252,249,269,233,138,148,259,296,337,327,266,392,1.5
WESTERN EUROPE,"421,037","39,283","45,481","42,891","25,259","17,084","21,313","49,731","43,471","26,516","29,127","31,827","49,054",1.4
Austria,"11,300","1,640","1,890","1,197",632,314,258,899,830,482,579,989,"1,590",2.0
Belgium,"9,138",652,959,917,536,293,494,"1,682",889,688,502,640,886,2.2
Denmark,"9,845","1,380","1,527","1,067",329,225,840,"1,363",496,265,545,422,"1,386",1.9
France,"64,388","6,312","8,253","7,248","4,170","2,318","2,298","7,093","7,607","3,350","4,191","4,999","6,549",1.5
Netherlands,"22,281","2,015","1,825","1,497","1,277",816,"1,372","4,884","2,184","1,609","1,482","1,276","2,044",2.6
Italy,"17,982","2,196","1,655","1,484",948,520,830,"1,513","2,833","1,059","1,036","1,318","2,590",1.9
Norway,"8,573",633,583,577,314,215,"1,530","1,882",489,427,449,530,944,2.6
Spain,"8,183",316,373,679,387,280,368,953,"1,693",762,828,793,751,2.5
Sweden,"12,597","1,847","1,651","1,034",474,240,638,734,326,394,867,968,"3,424",3.3
Switzerland,"19,141","1,708","2,054","1,684","1,371",690,803,"4,158","1,091","1,030","1,169","1,345","2,038",2.6
U.K,"137,416","11,350","13,604","13,590","8,642","6,567","7,642","16,424","15,519","9,356","9,850","9,663","15,209",1.4
Germany,"85,470","7,893","9,828","10,384","5,099","3,929","3,407","7,027","8,012","6,070","6,436","7,715","9,670",1.5
Others,"14,723","1,341","1,279","1,533","1,080",677,833,"1,119","1,502","1,024","1,193","1,169","1,973",1.6
EASTERN EUROPE,"125,695","15,183","14,746","12,513","8,687","5,000","3,667","4,659","5,511","7,569","12,676","16,664","18,820",1.8
Russia,"51,235","5,586","5,065","4,826","3,490","1,693","1,501","1,892","2,379","3,285","5,302","7,575","8,641",2.0
Ukraine,"38,607","5,309","4,656","3,632","2,796","1,939",792,"1,244","1,464","2,542","4,584","4,627","5,022",1.7
Czech Republic,"8,881",994,"1,581","1,148",629,214,230,451,368,331,533,"1,086","1,316",2.1
Poland,"9,688","1,269","1,571","1,138",766,366,356,347,461,348,448,"1,263","1,355",1.9
Others,"17,284","2,025","1,873","1,769","1,006",788,788,725,839,"1,063","1,809","2,113","2,486",1.7
AFRICA,"8,081",575,484,541,442,434,500,502,764,550,718,999,"1,572",2.3
South Africa,"3,366",219,239,296,231,182,212,278,265,211,305,248,680,2.4
Others,"4,715",356,245,245,211,252,288,224,499,339,413,751,892,2.3
