0,1,2,3,4,5,6
,,2012,,,2013,
Country of,,,,,,
,Arrivals,Average Duration,Tourist,Arrivals,Average Duration,Tourist
Nationality,,,,,,
,,of Stay,Nights,,of Stay,Nights
NORTH AMERICA,"56,694",10.4,"588,677","65,616",9.7,"636,006"
Canada,"28,786",10.6,"305,132","30,926",10.5,"324,250"
U.S.A.,"27,908",10.2,"283,545","34,690",9.0,"311,756"
LATIN AMERICA &,,,,,,
THE CARIBBEAN,"1,001",9.9,"9,870","3,166",9.4,"29,717"
WESTERN EUROPE,"377,873",10.2,"3,985,577","421,037",12.3,"5,173,278"
Austria,"6,601",9.6,"63,634","11,300",14.9,"168,125"
Belgium,"13,013",10.2,"132,342","9,138",11.9,"108,584"
Denmark,"9,753",10.2,"99,676","9,845",12.2,"119,934"
Finland,"6,230",10.1,"62,612","2,471",14.3,"35,284"
France,"55,473",10.9,"604,656","64,388",11.2,"720,096"
Germany,"69,652",10.7,"741,794","85,470",13.6,"1,160,700"
Italy,"17,661",9.8,"173,608","17,982",10.8,"193,923"
Netherlands,"25,564",10.3,"262,287","22,281",14.0,"311,480"
Norway,"9,093",10.5,"95,113","8,573",12.1,"103,582"
Spain,"9,709",10.2,"99,323","8,183",11.6,"94,785"
Sweden,"15,165",10.4,"157,109","12,597",15.0,"188,680"
Switzerland,"21,644",10.5,"227,911","19,141",13.0,"248,471"
U.K,"111,828",10.7,"1,201,033","137,416",11.4,"1,564,261"
Others,"6,487",9.9,"64,481","12,252",12.7,"155,373"
EASTERN EUROPE,"70,437",10.0,"715,140","125,695",8.9,"1,114,983"
Russia,"30,156",10.1,"304,274","51,235",9.5,"486,024"
Ukraine,-,-,-,"38,607",8.7,"335,392"
Others,"40,281",10.2,"410,866","35,853",8.2,"293,567"
MIDDLE EAST,"58,901",10.0,"591,366","80,509",7.2,"578,821"
AFRICA,"6,912",9.5,"65,940","8,081",10.9,"87,955"
ASIA,"383,748",9.3,"3,542,964","509,653",4.9,"2,505,226"
China (P.R.),"20,323",9.8,"198,352","54,288",6.7,"363,200"
India,"191,281",8.7,"1,671,796","208,795",4.3,"896,512"
Indonesia,"2,812",9.2,"25,870","17,295",3.7,"63,899"
Japan,"23,421",9.6,"224,842","31,505",6.0,"188,755"
Korea (South),"6,133",9.2,"56,178","12,207",6.3,"76,792"
Malaysia,"29,181",9.7,"284,223","19,181",4.3,"82,358"
Maldives,"45,321",10.4,"469,526","79,474",5.7,"452,343"
Pakistan,"14,543",9.0,"130,596","25,336",3.8,"96,137"
Philippines,"4,761",9.1,"43,135","14,616",3.2,"46,703"
Singapore,"15,453",8.9,"138,150","15,546",5.4,"83,826"
Thailand,"11,231",9.6,"108,267","9,608",6.4,"61,401"
Bangaladesh,-,-,-,"10,037",3.8,"38,085"
Others,"10,487",10.3,"108,436","11,765",4.7,"55,215"
AUSTRALASIA,"50,039",10.4,"556,516","60,836",12.9,"783,064"
Australia,"42,310",11.2,"475,564","54,252",12.4,"671,745"
New Zealand,"5,837",10.5,"61,464","6,174",14.9,"91,859"
Others,"1,892",10.3,"19,488",410,47.5,"19,460"
Total,"1,005,605",10.0,"10,056,050","1,274,593",8.6,"10,909,050"
