0,1,2,3
,Tourist Arrivals by Country of Residence & Mode of Transport - 2013,,
Country of,Total,By Air,Sea
Residence,,,
NORTH AMERICA,"65,616","64,969",647
Canada,"30,926","30,762",164
U.S.A.,"34,690","34,207",483
LATIN AMERICA &,,,
THE CARIBBEAN,"3,166","3,074",92
WESTERN EUROPE,"421,037","414,118","6,919"
Austria,"11,300","11,020",280
Belgium,"9,138","9,051",87
Denmark,"9,845","9,705",140
Finland,"2,471","2,471",0
France,"64,388","64,233",155
Germany,"85,470","81,377","4,093"
Italy,"17,982","17,750",232
Netherlands,"22,281","22,093",188
Norway,"8,573","8,530",43
Spain,"8,183","8,043",140
Sweden,"12,597","12,554",43
Switzerland,"19,141","19,015",126
U.K,"137,416","136,411","1,005"
Others,"12,252","11,865",387
EASTERN EUROPE,"125,695","122,631","3,064"
Russia,"51,235","50,718",517
Others,"74,460","71,913","2,547"
AFRICA,"8,081","7,854",227
MIDDLE EAST,"80,509","79,838",671
ASIA,"509,653","495,807","13,846"
China,"54,288","52,746","1,542"
India,"208,795","205,514","3,281"
Indonesia,"17,295","16,246","1,049"
Japan,"31,505","31,143",362
Korea (South),"12,207","12,110",97
Malaysia,"19,181","18,659",522
Maldives,"79,474","79,377",97
Philippines,"14,616","10,136","4,480"
Singapore,"15,546","15,348",198
Thailand,"9,608","9,434",174
Taiwan (P.C.),"3,931","3,047",884
Others,"43,207","32,351","1,160"
AUSTRALASIA,"60,836","60,355",481
Australia,"54,252","53,846",406
New Zealand,"6,174","6,099",75
Others,410,410,0
Total,"1,274,593","1,248,646","25,947"
