0,1,2,3,4,5,6,7,8,9
,"Tourist Arrivals by Country of Residence, Sex & Age - 2013",,,,,,,,
Country of,Total,,Sex,,,,Age Groups,,
Residence,,Male,Female,(3-19),(20-29),(30-39),(40-49),(50-59),(60 & Over)
NORTH AMERICA,"65,616","39,753","25,863","1,492","11,606","15,378","14,534","9,896","12,710"
Canada,"30,926","19,633","11,293",555,"4,418","6,626","8,283","5,522","5,522"
U.S.A.,"34,690","20,120","14,570",937,"7,188","8,752","6,251","4,374","7,188"
LATIN AMERICA &,,,,,,,,,
THE CARIBBEAN,"3,166","1,837","1,329",85,656,799,571,399,656
WESTERN EUROPE,"421,037","235,882","185,155","7,554","75,646","88,412","91,751","81,033","76,641"
Austria,"11,300","6,176","5,124",226,"2,187","2,218","2,325","2,087","2,257"
Belgium,"9,138","4,993","4,145",182,"1,769","1,794","1,880","1,687","1,826"
Denmark,"9,845","5,380","4,465",186,"2,092","1,538","1,846","1,785","2,400"
Finland,"2,471","1,351","1,120",47,525,386,463,448,602
France,"64,388","39,277","25,111",901,"8,319","11,397","16,097","15,556","12,118"
Netherlands,"22,281","12,177","10,104",444,"4,313","4,374","4,584","4,115","4,451"
Italy,"17,982","10,532","7,450",230,"2,305","6,456","4,150","2,766","2,075"
Norway,"8,573","4,686","3,887",161,"1,821","1,340","1,607","1,554","2,090"
Spain,"8,183","4,472","3,711",164,"1,584","1,606","1,683","1,511","1,635"
Sweden,"12,597","6,884","5,713",237,"2,676","1,969","2,361","2,283","3,071"
Switzerland,"19,141","8,457","10,684",786,"5,244","3,409","3,409","2,884","3,409"
U.K,"137,416","81,908","55,508","1,621","25,406","34,323","29,047","22,974","24,045"
Germany,"85,470","42,623","42,847","2,127","15,034","15,197","19,778","19,120","14,214"
Others,"12,252","6,966","5,286",244,"2,371","2,405","2,521","2,263","2,448"
EASTERN EUROPE,"125,695","66,571","59,124","5,443","41,711","34,849","21,427","14,545","7,720"
Russia,"51,235","32,148","19,087","2,300","11,825","13,465","11,164","9,197","3,284"
Ukraine,"38,607","15,518","23,089","1,679","18,746","12,031","4,475","1,398",278
Others,"35,853","18,905","16,948","1,464","11,140","9,353","5,788","3,950","4,158"
AFRICA,"8,081","4,180","3,901",500,"1,016","2,853","1,616",999,"1,097"
South Africa,"3,366","1,414","1,952",209,423,"1,188",673,416,457
Others,"4,715","2,766","1,949",291,593,"1,665",943,583,640
MIDDLE EAST,"80,509","53,918","26,591","3,190","17,953","28,089","18,822","10,427","2,028"
Isreal,"8,545","5,722","2,823",338,"1,906","2,981","1,998","1,107",215
Saudi Arabia,"23,753","15,908","7,845",941,"5,297","8,287","5,553","3,076",599
Kuwait,"7,427","4,974","2,453",295,"1,656","2,591","1,736",962,187
Oman,"7,634","5,113","2,521",302,"1,702","2,664","1,785",989,192
Others,"33,150","22,201","10,949","1,314","7,392","11,566","7,750","4,293",835
EAST ASIA,"183,097","108,771","74,326","5,974","49,823","67,964","28,486","16,841","14,009"
China,"54,288","34,999","19,289","2,069","19,645","20,682","8,788","1,552","1,552"
Indonesia,"17,295","10,709","6,586",580,"4,305","6,370","2,697","1,853","1,490"
Japan,"31,505","13,791","17,714",322,"7,394","11,896","4,502","3,856","3,535"
Malaysia,"19,181","11,148","8,033",853,"4,689","6,394","2,557","2,557","2,131"
Philippines,"14,616","9,150","5,466",489,"3,638","5,384","2,279","1,566","1,260"
Singapore,"15,546","10,146","5,400",639,"2,404","5,930","2,886","2,244","1,443"
Thailand,"9,608","5,950","3,658",321,"2,392","3,539","1,498","1,030",828
Taiwan,"3,931","2,434","1,497",132,978,"1,448",613,421,339
South Korea,"12,207","7,558","4,649",410,"3,038","4,496","1,903","1,308","1,052"
Others,"4,920","2,886","2,034",159,"1,340","1,825",763,454,379
SOUTH ASIA,"326,556","244,202","82,354","5,238","54,093","133,191","88,302","31,450","14,282"
India,"208,795","169,632","39,163","1,295","24,781","89,815","69,939","18,831","4,134"
Maldives,"79,474","49,214","30,260","2,660","19,782","29,274","12,393","8,516","6,849"
Pakistan,"25,336","15,692","9,644",849,"6,306","9,332","3,951","2,715","2,183"
Others,"12,951","9,664","3,287",434,"3,224","4,770","2,019","1,388","1,116"
AUSTRALASIA,"60,836","35,830","25,006","1,587","10,672","14,582","11,069","11,122","11,804"
Australia,"54,252","31,764","22,488","1,416","9,517","12,901","9,974","9,918","10,526"
New Zealand,"6,174","3,823","2,351",161,"1,083","1,609",994,"1,129","1,198"
Others,410,243,167,10,72,72,101,75,80
Total,"1,274,593","790,944","483,649","31,063","263,176","386,117","276,578","176,712","140,947"
