0,1,2,3,4,5,6,7,8
,Total,,,Sri Lankan Residents,,Foreign Tourists (1),,Other Foreigners (2)
Port,Arrivals,Departures,Arrivals,Departures,Arrivals,Departures,Arrivals,Departures
Katunayake,"2,593,818","2,644,467","1,196,522","1,257,304","1,247,427","976,884","149,869","410,279"
Mattala,"2,828","2,850","1,609","1,838","1,219","1,012",-,-
TOTAL AIR,"2,596,646","2,647,317","1,198,131","1,259,142","1,248,646","977,896","149,869","410,279"
Colombo Harbour,"7,238","6,010",942,931,"6,296","6,010",-,-
Galle Harbour,"21,366","18,738","1,715","1,638","19,651","17,100",-,-
Other Ports,"3,136","3,084",-,-,-,-,-,-
TOTAL SEA,"31,740","27,832","2,657","2,569","25,947","23,110",-,-
Grand Total,"2,628,386","2,675,149","1,200,788","1,261,711","1,274,593","1,001,006","149,869","410,279"
