0,1,2,3,4,5,6,7,8,9,10
,,Passenger Arrivals and Departures - 1979 to 2013,,,,,,,,
,Katunayake,Mattala,,Colombo Port,Galle Port,,Talaimannar,,Other Ports,Total
Year,DepArr,Arr,Dep,DepArr,DepArr,,DepArr,,DepArr,DepArr
1979,"302,280325,710",--,--,----,--,--,"69,181","66,610","3,2673,626","374,728395,946"
1980,"364,018388,270",,,,,,"81,524","79,020","3,3091,966","448,851469,256"
1981,"493,619562,421",,,,,,"82,003","72,800","2,5992,456","578,221637,677"
1982,"584,326546,490",,,,,,"95,108","106,876","2,2262,175","681,660655,541"
1983,"559,276534,217",,,,,,"70,402","93,168","1,8622,277","631,540629,662"
1984,"593,883650,812",,,,,,"61,568","99,796","1,7381,760","657,189752,368"
1985,"543,397585,213",,,,,,-,-,"1,9271,735","545,324586,948"
1986,"570,304591,448",,,,,,--,--,"1,8751,561","572,179593,009"
1987,"512,289548,408",,,,,,,,"1,7971,533","514,086549,941"
1988,"516,400544,760",,,,,,,,"2,1002,200","518,500546,960"
1989,"552,189563,027",,,,,,,,"1,4931,286","553,682564,313"
1990,"603,595581,698",,,,,,,,"3,4931,756","607,088583,454"
1991,"646,869712,073",,,,,,,,"2,7062,366","649,575714,439"
1992,"764,453836,310",,,,,,,,"2,7942,919","767,247839,229"
1993,"813,535823,841",,,,,,,,"3,5513,134","817,086826,975"
1994,"893,387892,778",---------------------------,---------------------------,------------------------------------------------------,---------------------------,---------------------------,,,"4,1204,392","897,507897,170"
1995,"912,877946,109",,,,,,,,"5,8978,105","918,774954,214"
1996,"857,727851,272",,,,,,,,"3,6283,668","861,355854,940"
1997,"904,712916,397",,,,,,,,"3,7933,578","908,505919,975"
1998,"921,343938,656",,,,,,---------------------,---------------------,"3,7933,619","925,136942,275"
1999,"970,311977,066",,,,,,,,"3,5953,114","973,906980,180"
2000,"999,418970,383",,,,,,,,"2,9332,827","1,002,351973,210"
2001,"971,621962,586",,,,,,,,"2,9422,682","974,563965,268"
2002,"912,419950,655",,,,,,,,"2,9472,804","915,366953,459"
2003,"1,140,6871,102,864",,,,,,,,"1,5321,729","1,142,2191,104,593"
2004,"1,459,5751,484,685",,,,,,,,"2,1122,255","1,461,6871,486,940"
2005,"1,360,2171,396,227",,,,,,,,"1,9301,560","1,362,1471,397,787"
2006,"1,444,4081,474,559",,,,,,,,360401,"1,444,7681,474,960"
2007,"1,529,9301,565,341",,,,,,,,3382 1 1,"1,530,2681,565,552"
2008,"1,644,1721,707,376",-,-,--,-,-,,,145168,"1,644,3171,707,544"
2009,"1,644,1421,673,265",-,-,--,-,-,,,420379,"1,644,5621,673,644"
2010,"2,111,6292,128,404",-,-,--,-,-,,,385356,"2,112,0142,128,760"
2011,"2,435,6602,464,622",--,--,----,--,--,- ----,- ----,"1,8421,842","2,437,5022,466,464"
2012,"2,518,0822,571,871",,,,,,,,"3,1363,084","2,521,2182,575,007"
2013,"2,593,8182,644,467","2,828","2,850","7,2386,010","21,366","18,738",,,"3,1363,084","2,625,2502,672,065"
