0,1,2,3,4,5,6,7,8,9
,,,,,,,,,Table 16
,,Volume & Value of Tourism - 2005 to 2013,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013
Tourist Arrivals,"549,308","559,603","494,008","438,475","447,890","654,476","855,975","1,005,605","1,274,593"
Excursionist Arrivals,"119,618","128,719","98,432","87,695","89,526","112,497","119,875","126,523","140,009"
Official Receipts,,,,,,,,,
Rs. mn.,"36,377.3","42,585.5","42,519.3","37,094.0","40,133","65,018.0","91,926.0","132,427","221,147.1*"
US$ mn.,362.3,410.3,384.4,319.5,349.3,575.9,838.9,1038.3*,"1,715.5*"
SDR Units (mn.),244.6,278.3,250.9,202.1,226.5,376.9,530.2,677.7,"1,128.8*"
Receipt per Tourist per day,,,,,,,,,
(in US $),74.6,83.4,79.1,76.7,81.8,88.0,98.0,103.0,156.5*
