0,1,2,3,4,5
Country of Residence,2009,2010,2011,2012,2013
LATIN AMERICA &,,,,,
THE CARIBBEAN,617,620,"1,036","1,626","3,166"
Argentina,75,133,148,387,400
Bolivia,39,76,23,229,23
Brazil,157,217,362,476,803
French Guyana,229,86,8,33,"1,226"
Others,117,108,495,501,714
WESTERN EUROPE-OTHERS,"3,114","4,464","4,533","5,387","12,252"
Greece,906,"1,599","1,240","1,415","4,010"
Ireland,"1,366","1,758","1,452","1,951","4,512"
Portugal,565,850,"1,032","1,284","2,097"
Others,277,257,809,737,"1,633"
EASTERN EUROPE-OTHERS,"11,899","16,536","17,897","21,651","35,853"
Bulgaria,207,703,375,789,754
Czech. Republic,"2,814","4,204","5,548","5,877","8,881"
Hungary,418,836,911,"1,418","1,653"
Poland,"5,138","6,613","5,817","5,806","9,688"
Romania,272,710,726,"1,029","1,687"
Slovakia,"1,164","1,716","1,314","2,040","1,731"
Lithuania,546,636,673,"1,078","1,405"
Turkey,378,563,664,"1,171","2,399"
Kazakhstan,71,110,160,240,"2,362"
Others,891,445,"1,709","1,158","5,293"
AFRICA-OTHERS,700,893,"1,652","1,997","4,715"
Algeria,69,71,64,114,129
Kenya,229,297,394,645,507
Mauritius,117,179,160,284,288
Nigeria,131,212,378,684,550
Zambia,51,63,67,87,42
Others,103,71,589,183,"3,199"
MIDDLE EAST,"23,741","37,540","57,501","56,169","80,509"
Bahrain,943,"1,459","1,819","2,016","2,743"
Iran,"1,270","1,900","2,223","1,815","2,058"
Israel,"1,901","3,919","6,164","7,212","8,545"
Jordan,"1,108","1,708","1,478","1,852","2,976"
Kuwait,"1,123","2,303","2,812","3,245","7,427"
Lebanon,940,"1,816","1,960","2,116","3,371"
Oman,727,"1,359","2,177","2,602","7,634"
Saudi Arabia,"6,685","9,301","15,081","19,423","23,753"
Qatar,"1,158","1,574","2,788","2,271","1,073"
UAE,"5,974","9,825","17,664","11,083","8,471"
Egypt,510,849,767,800,"1,806"
Others,"1,402","1,527","2,568","1,734","10,652"
ASIA-OTHERS,"2,098","2,221","4,862","5,172","5,815"
Myanmar,262,262,914,"1,108","2,848"
Vietnam,224,440,735,906,"1,163"
Afganistan,200,176,363,649,559
Bhutan,668,530,824,831,266
Others,744,813,"2,026","1,678",979
Total,"42,169","62,274","87,481","92,002","142,310"
