0,1,2,3,4,5,6,7,8
,Y,ear  in Review  -2023,,,,,,
,,Country of,,,,,,
,,,2018,2019,2020,2021,,
,,,,,,,,2023
,,,,,,,2022,
Rank,,Residence,,,,,,
,,,,,,,,( Up to July )
46,,Lebanon,"5,521","4,304",483,547,"1,606","1,882"
47,,Oman,"6,846","4,117","1,045",246,876,"1,271"
48,,Hungary,"4,514","4,091","1,588",445,"2,324","1,767"
49,,Egypt,"3,854","3,708",956,400,"2,340","1,578"
50,,UAE,"5,785","3,528",352,254,"1,347","1,658"
51,,Iran,"5,720","3,249",648,397,"4,301","6,237"
52,,Kuwait,"3,465","3,239",825,166,952,"1,214"
53,,Myanmar,"3,241","3,124",532,39,252,424
54,,Jordan,"3,156","3,085",627,682,"2,472","2,299"
55,,Brazil,"2,774","2,964",875,159,669,731
56,,Cambodia,771,"2,841",372,14,157,344
57,,Lithuania,"3,386","2,793","1,054",383,"2,115","1,406"
58,,Vietnam,"3,189","2,643",709,52,519,"1,265"
59,,Estonia,"2,744","2,516","1,185",376,978,701
60,,Kazakhstan,"2,721","2,399","2,333","5,754","8,068","2,206"
61,,Bahrain,"2,858","2,285",549,128,510,764
62,,Croatia,"2,181","1,922",693,102,338,422
63,,Seychelles,416,"1,864",331,118,347,491
64,,Kenya,874,"1,559",110,39,230,269
65,,Argentina,"1,809","1,403",416,50,268,421
66,,Yemen,"1,367","1,114",173,56,229,201
67,,Qatar,"1,676","1,063",129,34,301,558
68,,Morocco,"1,036","1,031",311,85,446,415
69,,Chile,"1,002",938,271,23,182,245
70,,Palestine,"1,078",871,128,68,366,319
71,,Iraq,"1,021",852,138,262,"1,113",546
72,,Mauritius,720,739,170,23,130,163
73,,Colombia,702,713,201,76,304,273
74,,Cyprus,672,709,183,61,390,429
75,,Sudan,858,584,143,97,818,452
76,,Afghanistan,861,473,146,15,39,73
77,,Bhutan,679,343,208,5,139,201
78,,Nigeria,412,172,25,11,27,46
79,,Comoros,191,128,17,1,16,45
80,,Others,"24,944","22,377","6,148","2,002","12,170","13,959"
