0,1,2,3,4,5
T,ourist arrivals from 01st to 06th March 2024,,,,
,2023,,2024,,
,,,,,Percentage
,,Number of,,Number of,
,,,,,Change
,,Tourists,,Tourists,
Month,,,Month,,(24/23)
January,,"102,545",January,"208,253",103.1
February,,"107,639",February,"218,350",102.8
March,,"125,495",March,"40,877",
April,,"105,498",April,,
May,,"83,309",May,,
June,,"100,388",June,,
July,,"143,039",July,,
August,,"136,405",August,,
September,,"111,938",September,,
October,,"109,199",October,,
November,,"151,496",November,,
December,,"210,352",December,,
